@relation R_data_frame-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S1

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 numeric
@attribute V10 numeric
@attribute V11 numeric
@attribute V12 numeric
@attribute V13 numeric
@attribute V14 numeric
@attribute V15 numeric
@attribute V16 numeric
@attribute V17 numeric
@attribute V18 numeric
@attribute V19 numeric
@attribute V20 numeric
@attribute V21 numeric
@attribute V22 numeric
@attribute V23 numeric
@attribute V24 numeric
@attribute V25 numeric
@attribute V26 numeric
@attribute V27 numeric
@attribute V28 numeric
@attribute V29 numeric
@attribute V30 numeric
@attribute V31 numeric
@attribute V32 numeric
@attribute V33 numeric
@attribute V34 numeric
@attribute V35 numeric
@attribute V36 numeric
@attribute V37 numeric
@attribute V38 numeric
@attribute V39 numeric
@attribute V40 numeric
@attribute V41 numeric
@attribute V42 numeric
@attribute V43 numeric
@attribute V44 numeric
@attribute V45 numeric
@attribute V46 numeric
@attribute V47 numeric
@attribute V48 numeric
@attribute V49 numeric
@attribute V50 numeric
@attribute V51 numeric
@attribute V52 numeric
@attribute V53 numeric
@attribute V54 numeric
@attribute V55 numeric
@attribute V56 numeric
@attribute V57 numeric
@attribute V58 numeric
@attribute V59 numeric
@attribute V60 numeric
@attribute V61 numeric
@attribute V62 numeric
@attribute V63 numeric
@attribute V64 numeric
@attribute V65 numeric
@attribute V66 numeric
@attribute V67 numeric
@attribute V68 numeric
@attribute V69 numeric
@attribute V70 numeric
@attribute V71 numeric
@attribute V72 numeric
@attribute Class {1,2}

@data
2.1,2.1,2.0,1.9,1.7,1.8,2.1,2.9,3.4,3.7,2.8,2.9,2.8,2.2,1.5,2.2,2.9,3.7,4.5,3.7,3.7,3.0,2.6,2.6,4.5,2.7,24.7,24.4,24.1,23.7,23.4,23.2,24.1,25.9,27.9,29.4,30.7,32.0,33.3,34.2,34.6,35.0,35.0,33.8,31.4,29.7,28.4,27.4,26.5,25.8,35.0,28.7,16.0,0.61,1.66,-2.07,1522.0,10.8,0.08,-1.61,-9.11,3149.0,-7.3,0.12,1.57,-8.93,5860.0,-4.2,39.1,10120.0,-45.0,0.0,2.0
0.3,0.4,0.5,0.4,0.1,0.5,0.9,1.3,2.0,1.6,1.5,1.4,1.7,1.2,1.1,2.1,2.2,2.3,2.0,1.8,1.3,0.8,0.8,0.3,2.3,1.2,25.3,25.3,25.4,25.2,24.8,25.5,24.9,26.3,28.6,30.5,32.4,33.6,34.3,34.7,35.2,35.2,35.1,34.0,32.0,30.7,29.6,28.3,27.5,26.6,35.2,29.6,19.7,0.8,0.49,-3.56,1529.5,9.5,0.7,-0.65,-5.1,3174.0,-6.3,0.13,3.22,-3.49,5885.0,36.45,48.0,10100.0,40.0,0.0,2.0
0.7,0.9,0.6,0.9,0.8,0.8,1.3,2.6,3.8,3.1,2.8,2.7,2.1,1.8,1.4,1.3,0.8,0.8,0.9,0.8,1.2,1.7,2.1,1.7,3.8,1.6,27.6,26.9,26.4,26.4,26.2,26.0,26.6,27.8,29.2,30.2,31.7,32.8,33.8,34.6,35.1,35.4,35.7,35.2,34.3,31.9,31.2,30.7,30.4,29.7,35.7,30.7,18.3,0.95,2.136487,1.662464,1536.5,10.6,0.26,-3.68,-7.04,3178.0,-4.3,0.04,-0.32,-3.94,5900.0,21.1,44.4,10120.0,5.0,0.0,1.0
1.640179,1.586351,1.54558,1.526405,1.522624,1.542417,1.637896,2.047127,2.539037,2.847708,2.969768,3.016414,3.044148,3.106679,3.177738,3.231005,3.1928,2.934562,2.561343,2.285638,2.089554,1.938376,1.803805,1.708538,4.172092,2.314949,18.649275,18.34785,18.060886,17.821319,17.611319,17.475542,17.589366,18.417822,19.778799,21.216943,22.462532,23.393553,24.025245,24.433077,24.705081,24.720153,24.397532,23.6321,22.509702,21.425661,20.615352,20.031588,19.502647,19.06226,25.578338,20.840483,19.0,0.72,0.7,-1.93,1589.5,8.3,0.49,-1.38,-2.96,3227.0,-8.4,0.55,-3.51,-4.4,5925.0,31.15,49.55,10180.0,5.0,0.08,1.0
1.7,1.7,1.2,1.1,0.7,0.8,1.1,1.8,3.0,3.8,3.6,3.9,4.5,4.2,4.2,4.8,4.3,3.8,3.6,3.7,3.5,2.7,4.2,4.6,4.8,3.0,21.4,19.4,18.4,18.0,18.1,18.7,19.2,20.4,21.8,23.8,25.4,26.3,27.2,27.0,27.6,27.3,27.0,26.1,24.6,23.1,22.4,21.8,21.8,21.3,27.6,22.8,16.5,0.35,1.62,0.25,1512.5,7.9,0.18,6.16,-3.04,3139.5,-9.9,0.63,16.09,-3.57,5820.0,3.4,36.8,10115.0,-5.0,0.0,1.0
0.3,0.3,0.4,0.1,0.2,0.1,0.7,0.6,2.5,2.4,2.3,2.5,1.9,2.7,3.0,3.0,3.6,3.7,2.8,2.3,2.1,1.7,1.7,1.9,3.7,1.8,23.5,23.5,23.1,22.6,22.4,22.4,23.8,25.8,27.7,29.0,30.0,30.8,31.2,31.4,31.6,31.7,30.8,30.2,29.1,28.3,27.8,27.4,27.2,26.9,31.7,27.4,16.9,0.51,-0.86,3.04,1571.5,10.2,0.13,-2.23,1.7,3200.0,-6.6,0.02,2.39,-0.94,5915.0,-1.1,36.0,10180.0,20.0,0.0,2.0
1.4,1.4,1.2,0.8,0.3,1.2,2.0,2.4,2.7,3.4,4.3,4.5,5.1,5.4,5.2,4.8,3.8,3.2,3.9,2.3,2.6,2.9,2.9,3.0,5.4,2.9,19.6,19.5,19.4,19.3,19.2,19.2,19.3,19.6,21.1,24.1,25.2,26.2,26.7,26.6,26.2,26.2,25.4,23.9,22.6,22.3,21.7,21.8,22.1,22.1,26.7,22.5,11.8,0.72,-0.14,3.83,1543.0,8.4,0.02,0.89,6.08,3152.0,-7.5,0.02,4.35,2.51,5860.0,-19.0,33.5,10180.0,-45.0,0.0,1.0
0.0,0.3,0.8,0.8,0.6,0.5,0.7,1.2,2.0,1.6,0.9,1.9,1.7,2.2,2.8,2.3,2.5,3.1,2.0,1.7,1.0,1.1,0.9,0.8,3.1,1.4,21.2,20.8,20.5,20.3,19.9,19.5,19.3,20.6,23.2,25.9,28.3,29.1,29.6,30.1,30.3,30.6,29.8,28.1,26.6,25.4,24.1,23.7,23.2,22.2,30.6,24.7,15.9,0.62,-2.05,-1.1,1557.0,6.6,0.28,-1.38,-1.14,3175.5,-7.7,0.01,-2.16,-4.68,5870.0,5.45,39.15,10165.0,0.0,0.0,2.0
0.7,0.5,0.2,0.2,0.2,0.4,0.4,0.4,1.2,2.2,1.7,1.4,0.8,0.7,0.4,2.3,2.6,3.6,3.1,2.7,2.1,1.3,1.5,1.5,3.6,1.3,26.1,25.3,24.7,24.1,23.8,23.8,24.4,26.4,28.4,30.2,31.8,32.8,34.2,35.4,36.1,36.8,36.6,34.7,32.8,30.9,29.6,28.6,27.8,27.2,36.8,29.7,21.5,0.27,-2.43,2.15,1559.0,10.2,0.5,-3.84,5.49,3207.5,-5.2,0.21,-2.83,-1.32,5925.0,16.7,31.9,10145.0,15.0,0.0,2.0
0.4,0.4,0.6,0.9,0.7,0.5,1.0,1.4,2.2,2.5,2.7,2.3,1.8,1.9,2.9,3.4,2.9,2.1,0.9,1.5,1.3,1.0,0.2,0.5,3.4,1.5,20.7,20.0,19.7,19.1,18.3,18.0,18.5,20.2,23.4,25.8,27.7,28.7,29.7,30.6,31.0,31.2,31.1,30.2,27.6,25.6,24.4,23.6,21.7,20.8,31.2,24.5,15.1,0.36,-1.09,-4.53,1544.0,8.0,0.5,0.31,-3.53,3171.5,-6.3,0.08,3.82,-1.44,5875.0,12.0,27.8,10160.0,-15.0,0.0,1.0
1.640179,1.586351,1.54558,1.526405,1.522624,1.542417,1.637896,2.047127,2.539037,2.847708,2.969768,3.016414,3.044148,3.106679,3.177738,3.231005,3.1928,2.934562,2.561343,2.285638,2.089554,1.938376,1.803805,1.708538,4.172092,2.314949,18.649275,18.34785,18.060886,17.821319,17.611319,17.475542,17.589366,18.417822,19.778799,21.216943,22.462532,23.393553,24.025245,24.433077,24.705081,24.720153,24.397532,23.6321,22.509702,21.425661,20.615352,20.031588,19.502647,19.06226,25.578338,20.840483,19.2,0.73,-0.52,-1.3,1583.0,5.931129,0.406445,-1.17,-1.28,3220.5,-8.9,0.77,-0.78,-1.5,5915.0,10.511051,51.05,10175.0,15.0,0.0,2.0
1.640179,1.586351,1.54558,1.526405,1.522624,1.542417,1.637896,2.047127,2.539037,2.847708,2.969768,3.016414,3.044148,3.106679,3.177738,3.231005,3.1928,2.934562,2.561343,2.285638,2.089554,1.938376,1.803805,1.708538,4.172092,2.314949,18.649275,18.34785,18.060886,17.821319,17.611319,17.475542,17.589366,18.417822,19.778799,21.216943,22.462532,23.393553,24.025245,24.433077,24.705081,24.720153,24.397532,23.6321,22.509702,21.425661,20.615352,20.031588,19.502647,19.06226,25.578338,20.840483,15.0,0.89,1.34,8.62,1508.0,7.3,1.0,3.8,9.25,3133.0,-6.6,1.0,11.01,11.04,5840.0,34.7,41.3,10120.0,-5.0,0.61,1.0
0.6,0.6,0.8,0.8,0.9,1.1,0.9,1.2,1.3,1.4,1.1,0.5,0.6,0.5,1.7,1.4,2.4,2.5,2.5,2.0,1.1,0.4,0.7,0.4,2.5,1.1,13.9,13.3,12.6,12.3,12.9,13.1,12.9,14.5,16.7,19.7,22.8,25.2,26.5,27.7,28.5,29.3,29.1,27.7,25.6,23.8,22.4,21.3,19.8,19.8,29.3,20.5,16.4,0.52,-6.42,3.07,1527.5,8.9,0.49,-5.48,5.84,3162.5,-5.8,0.03,-3.91,3.86,5885.0,-4.2,23.4,10145.0,-0.119949,0.0,2.0
0.5,0.0,0.5,0.2,0.5,1.0,0.2,1.3,1.1,1.6,1.0,2.0,2.1,1.3,3.2,3.8,0.6,0.5,1.4,0.8,1.0,1.1,0.9,1.4,3.8,1.2,26.1,25.6,25.4,25.4,25.0,24.1,24.7,26.1,28.4,30.2,32.0,32.8,33.2,33.8,31.9,21.2,22.8,24.0,23.4,23.5,23.7,23.6,23.4,23.4,33.8,26.4,19.1,0.64,-2.71,-0.52,1536.0,6.8,0.68,-4.0,-5.86,3168.5,-7.9,0.34,-9.69,-7.98,5860.0,33.4,46.8,10115.0,-5.0,0.0,2.0
0.5,0.7,0.5,0.2,0.1,0.8,0.7,1.0,2.0,2.0,1.3,1.4,0.8,0.4,1.5,1.0,1.7,2.1,2.2,1.7,1.4,1.5,1.5,1.4,2.2,1.2,26.7,25.9,25.4,25.4,24.9,25.0,25.4,27.1,28.5,29.7,31.2,32.0,33.1,34.0,34.7,34.9,35.4,34.8,32.8,31.3,30.2,29.4,28.6,27.9,35.4,29.8,19.3,0.73,-3.01,0.42,1578.0,9.4,0.72,-3.79,-0.01,3220.5,-4.3,0.16,-10.93,-3.41,5945.0,33.1,42.2,10170.0,-5.0,0.0,2.0
1.6,0.8,1.1,1.3,0.8,1.0,1.0,0.6,0.9,1.5,1.4,1.8,1.8,1.3,4.2,2.8,3.3,3.0,2.8,2.4,2.2,1.4,0.8,0.8,4.2,1.7,20.8,20.7,20.6,20.3,20.3,20.2,20.1,20.2,20.4,20.5,20.6,21.3,21.6,23.0,19.3,20.2,21.4,20.1,18.8,18.2,17.7,17.4,17.1,16.9,23.0,19.9,15.0,0.85,7.77,9.04,1520.0,4.2,0.64,9.81,4.72,3134.5,-15.9,0.34,14.95,3.72,5775.0,36.95,59.15,10140.0,-10.0,0.13,1.0
0.5,0.8,0.7,0.4,0.6,1.1,1.1,1.9,2.7,2.6,2.5,2.6,3.7,3.8,4.1,3.8,4.0,3.1,2.8,1.8,1.2,1.5,0.9,0.5,4.1,2.0,23.4,23.5,23.1,22.9,22.7,23.3,24.6,26.8,28.3,29.1,30.2,30.6,30.9,30.9,30.9,30.7,30.4,29.9,29.2,27.6,26.4,25.9,24.8,24.3,30.9,27.1,16.2,0.65,-5.04,2.25,1557.5,11.4,0.03,-2.12,4.55,3183.0,-6.5,0.02,0.68,1.97,5900.0,-10.6,38.9,10160.0,20.0,0.0,2.0
3.4,3.0,2.5,1.8,2.0,2.3,2.1,2.4,2.5,2.6,2.1,2.0,1.7,2.5,3.0,4.6,4.6,4.3,3.7,4.2,4.1,3.4,3.7,4.4,4.6,3.0,25.7,25.7,25.7,25.6,25.2,24.8,24.8,25.7,26.8,27.6,28.4,29.9,30.9,32.1,32.6,31.4,30.4,28.9,27.8,27.2,26.6,26.3,26.1,25.9,32.6,27.6,19.9,0.6,5.01,13.77,1509.5,9.7,0.24,8.61,11.34,3149.5,-7.1,0.21,20.76,7.04,5865.0,19.9,46.0,10105.0,35.0,0.0,1.0
